!!SBtab DocumentName=' TableType='Compound' TableName=' Document=' Unit=' SBtabVersion='1.0' Date='2018-10-17' pH='6.5' ionic_strength='0.1' pMg='14.0' 	                                         	                    	    	                    	                 	
!Identifiers:kegg.compound                                                                                                                              	!Name                                    	!dG0_prime (kJ/mol) 	!pH 	!ionic strength (M) 	!temperature (K) 	!Comment
C00227                                                                                                                                                  	C_acetyl_phosphate                       	-1118.1             	6.5 	0.1                 	298.15           	
C00233                                                                                                                                                  	C_4_methyl_2_oxopentanoate               	-106.5              	6.5 	0.1                 	298.15           	
C00236                                                                                                                                                  	C_3_phospho_d_glyceroyl_phosphate        	-2219.9             	6.5 	0.1                 	298.15           	
C00237                                                                                                                                                  	C_co                                     	-119.9              	6.5 	0.1                 	298.15           	
C00243                                                                                                                                                  	C_lactose                                	-738.1              	6.5 	0.1                 	298.15           	
C00244                                                                                                                                                  	C_nitrate                                	-109.4              	6.5 	0.1                 	298.15           	
C00245                                                                                                                                                  	C_taurine                                	-283.8              	6.5 	0.1                 	298.15           	
C00246                                                                                                                                                  	C_butanoic_acid                          	-89.4               	6.5 	0.1                 	298.15           	
C00247                                                                                                                                                  	C_l_sorbose                              	-459.6              	6.5 	0.1                 	298.15           	
C00249                                                                                                                                                  	C_hexadecanoic_acid                      	908.5               	6.5 	0.1                 	298.15           	
C00252                                                                                                                                                  	C_isomaltose                             	-758.4              	6.5 	0.1                 	298.15           	
C00257                                                                                                                                                  	C_d_gluconic_acid                        	-714.3              	6.5 	0.1                 	298.15           	
C00258                                                                                                                                                  	C_d_glycerate                            	-473.2              	6.5 	0.1                 	298.15           	
C00262                                                                                                                                                  	C_hypoxanthine                           	240.3               	6.5 	0.1                 	298.15           	
C00275                                                                                                                                                  	C_d_mannose_6_phosphate                  	-1348.4             	6.5 	0.1                 	298.15           	
C00282                                                                                                                                                  	C_hydrogen                               	93                  	6.5 	0.1                 	298.15           	
C00283                                                                                                                                                  	C_hydrogen_sulfide                       	46.5                	6.5 	0.1                 	298.15           	
C00288                                                                                                                                                  	C_co2total                               	-550.6              	6.5 	0.1                 	298.15           	
C00294                                                                                                                                                  	C_inosine                                	43.2                	6.5 	0.1                 	298.15           	
C00300                                                                                                                                                  	C_creatine                               	80                  	6.5 	0.1                 	298.15           	
C00305                                                                                                                                                  	C_magnesium_cation                       	77.4                	6.5 	0.1                 	298.15           	
C00309                                                                                                                                                  	C_d_ribulose                             	-359                	6.5 	0.1                 	298.15           	
C00310                                                                                                                                                  	C_d_xylulose                             	-369.2              	6.5 	0.1                 	298.15           	
C00311                                                                                                                                                  	C_isocitrate                             	-973.5              	6.5 	0.1                 	298.15           	
C00313                                                                                                                                                  	C_oxalyl_coa                             	643.3               	6.5 	0.1                 	298.15           	
C00332                                                                                                                                                  	C_acetoacetyl_coa                        	1061.9              	6.5 	0.1                 	298.15           	
C00342                                                                                                                                                  	C_thioredoxin                            	49.9                	6.5 	0.1                 	298.15           	
C00343                                                                                                                                                  	C_thioredoxin_disulfide                  	0                   	6.5 	0.1                 	298.15           	
C00354                                                                                                                                                  	C_d_fructose_16_bisphosphate             	-2234.7             	6.5 	0.1                 	298.15           	
C00366                                                                                                                                                  	C_urate                                  	-213.6              	6.5 	0.1                 	298.15           	
C00376                                                                                                                                                  	C_retinal                                	1055.4              	6.5 	0.1                 	298.15           	
C00379                                                                                                                                                  	C_xylitol                                	-331.8              	6.5 	0.1                 	298.15           	
C00387                                                                                                                                                  	C_guanosine                              	490                 	6.5 	0.1                 	298.15           	
C00390                                                                                                                                                  	C_ubiquinol                              	3377.9              	6.5 	0.1                 	298.15           	
C00392                                                                                                                                                  	C_mannitol                               	-414.9              	6.5 	0.1                 	298.15           	
C00399                                                                                                                                                  	C_ubiquinone                             	3392.5              	6.5 	0.1                 	298.15           	
C00407                                                                                                                                                  	C_l_isoleucine                           	146.1               	6.5 	0.1                 	298.15           	
C00417                                                                                                                                                  	C_cis_aconitate                          	-809.6              	6.5 	0.1                 	298.15           	
C00423                                                                                                                                                  	C_trans_cinnamate                        	134.5               	6.5 	0.1                 	298.15           	
